Feature,Days_TA_AVG,Days_TA_DSV,Days_Early_AVG,ImportancePTS
AP,27.62,26.52,17.67,0.01
AC,20.15,10.4,20.28,0.01
RR,27.86,27.23,17.5,0.01
AM,25.96,13.32,18.83,0.02
SE,20.78,15.92,9.04,0.06
RO,19.36,8.11,18.88,0.06
TO,16.68,7.45,11.46,0.06
RN,19.22,12.94,12.67,0.07
AL,24.0,11.65,7.7,0.08
PB,19.95,10.21,12.24,0.13
PI,18.88,14.17,10.5,0.13
MA,21.09,10.98,9.02,0.19
MS,15.06,7.43,10.23,0.19
MT,17.41,8.03,13.51,0.22
PA,23.02,12.94,13.5,0.24
CE,20.2,12.63,10.44,0.32
PE,17.7,10.63,12.6,0.4
ES,15.08,9.37,9.79,0.54
DF,12.49,7.33,11.16,0.62
GO,14.79,8.76,11.45,0.63
SC,14.38,8.55,10.73,0.97
PR,11.5,6.97,12.5,1.54
RS,14.68,9.19,13.24,1.58
BA,18.68,11.33,10.05,1.66
MG,11.48,7.04,12.39,3.8
RJ,14.72,11.24,11.08,7.28
SP,8.26,6.73,10.26,16.88
